V*(s0)=8.11914833 astar=[2 2 2]  Q* gap at s2 = 0.255069
        t             J       V*-J    gap(s2)     pi(a2|s2)   A(s2,a2)
        0     3.3179407  4.801e+00    10.2262   3.21535e-05   0.436163
        1     3.3182957  4.801e+00    10.2264   3.21498e-05   0.436123
        3     3.3190053  4.800e+00    10.2267   3.21424e-05   0.436044
        5     3.3197144  4.799e+00    10.2270   3.21349e-05   0.435964
       10     3.3214854  4.798e+00    10.2277   3.21164e-05   0.435765
       17     3.3239601  4.795e+00    10.2287   3.20904e-05   0.435488
       31     3.3288935  4.790e+00    10.2308   3.20387e-05   0.434934
       56     3.3376498  4.781e+00    10.2345   3.19466e-05   0.433951
      100     3.3528963  4.766e+00    10.2410   3.17856e-05   0.432240
      177     3.3790790  4.740e+00    10.2522   3.15072e-05   0.429302
      316     3.4247752  4.694e+00    10.2721   3.10155e-05   0.424174
      562     3.5009150  4.618e+00    10.3063   3.01786e-05   0.415629
     1000     3.6227221  4.496e+00    10.3640   2.87909e-05   0.401960
     1778     3.8020707  4.317e+00    10.4573   2.66227e-05   0.381837
     3162     4.0342759  4.085e+00    10.5987   2.35392e-05   0.355787
     5623     4.2841814  3.835e+00    10.7938   1.97269e-05   0.327765
    10000     4.5016445  3.618e+00    11.0355   1.57255e-05   0.303412
    17782     4.6582994  3.461e+00    11.3076   1.21032e-05   0.285937
    31622     4.7582581  3.361e+00    11.5946   9.14056e-06   0.274935
    56234     4.8202385  3.299e+00    11.8868   6.84936e-06   0.268467
   100000     4.8666377  3.253e+00    12.1793   5.12248e-06   0.264702
   177827     5.0024898  3.117e+00    12.4689   3.83882e-06   0.261703
   316227     5.7977245  2.321e+00    12.7258   2.97081e-06   0.254166
